,year,age,sex,race,cause,mort
546,2000,45,1,4,c,67.2773049634216
547,2000,45,1,4,d,31.2529324475469
548,2000,45,1,4,h,55.8258487994349
549,2000,45,1,4,n,238.810575419805
550,2000,45,1,4,o,77.7744731137427
551,2000,45,1,4,t,270.063507867352
552,2000,45,1,4,v,0
553,2000,45,1,5,a,47.118899201996
554,2000,45,1,5,c,93.8812229505716
555,2000,45,1,5,d,65.8645801818172
556,2000,45,1,5,h,107.380150830062
557,2000,45,1,5,n,391.03083009103
558,2000,45,1,5,o,142.6505571084
559,2000,45,1,5,t,456.895410272847
560,2000,45,1,5,v,0
561,2000,45,2,1,a,15.0257703154519
562,2000,45,2,1,c,90.2468045326836
563,2000,45,2,1,d,22.110664644736
564,2000,45,2,1,h,29.0111936940759
565,2000,45,2,1,n,200.075835585154
566,2000,45,2,1,o,65.7920670429428
567,2000,45,2,1,t,222.18650022989
568,2000,45,2,1,v,0
569,2000,45,2,2,a,23.1837982816359
570,2000,45,2,2,c,140.873774280773
571,2000,45,2,2,d,25.0352821721832
572,2000,45,2,2,h,100.704623785856
573,2000,45,2,2,n,483.720291230381
574,2000,45,2,2,o,218.958094882116
575,2000,45,2,2,t,508.755573402565
576,2000,45,2,2,v,0
577,2000,45,2,3,a,16.808563198927
578,2000,45,2,3,c,76.5298975951144
579,2000,45,2,3,d,15.789862398992
580,2000,45,2,3,h,21.6473919986181
581,2000,45,2,3,n,192.152438387733
582,2000,45,2,3,o,77.1665855950738
583,2000,45,2,3,t,207.942300786725
584,2000,45,2,3,v,0
585,2000,45,2,4,a,12.9734460667723
586,2000,45,2,4,c,62.7372615766304
587,2000,45,2,4,d,12.586179020003
588,2000,45,2,4,h,13.747980160311
589,2000,45,2,4,n,136.898901032956
590,2000,45,2,4,o,47.4402132292421
591,2000,45,2,4,t,149.485080052959
592,2000,45,2,4,v,0
593,2000,45,2,5,a,16.058994511632
594,2000,45,2,5,c,93.9865477314681
595,2000,45,2,5,d,21.4941947425345
596,2000,45,2,5,h,36.4483935629486
597,2000,45,2,5,n,231.000941936977
598,2000,45,2,5,o,84.5070061309285
599,2000,45,2,5,t,252.495136679512
600,2000,45,2,5,v,0
601,2000,50,0,1,a,28.9836879672685
602,2000,50,0,1,c,168.828844901962
603,2000,50,0,1,d,39.7596745192016
604,2000,50,0,1,h,115.623833186013
605,2000,50,0,1,n,445.265887672981
606,2000,50,0,1,o,131.829521617738
607,2000,50,0,1,t,485.025562192183
608,2000,50,0,1,v,0
609,2000,50,0,2,a,50.4541105896389
610,2000,50,0,2,c,264.445226098332
611,2000,50,0,2,d,49.8878467221906
612,2000,50,0,2,h,242.644067201574
613,2000,50,0,2,n,933.485985488436
614,2000,50,0,2,o,375.942581598891
615,2000,50,0,2,t,983.373832210626
616,2000,50,0,2,v,0
617,2000,50,0,3,a,28.041301227432
618,2000,50,0,3,c,99.5327375250927
619,2000,50,0,3,d,42.5478159713262
